Actions,Student No,First Name,Last Name,Email,Entrance Year,Faculty,Scholarship
,se/2019/1,fn/2019/1,ln/2019/1,email/2019/1,2019,Faculty of Social Science,Mahapola
,se/2019/2,fn/2019/2,ln/2019/2,email/2019/2,2019,Faculty of Social Science,Mahapola
,se/2019/3,fn/2019/3,ln/2019/3,email/2019/3,2019,Faculty of Social Science,Mahapola
,se/2019/4,fn/2019/4,ln/2019/4,email/2019/4,2019,Faculty of Social Science,Mahapola
,se/2019/5,fn/2019/5,ln/2019/5,email/2019/5,2019,Faculty of Science,Mahapola
,se/2019/6,fn/2019/6,ln/2019/6,email/2019/6,2019,Faculty of Science,Mahapola
,se/2019/7,fn/2019/7,ln/2019/7,email/2019/7,2019,Faculty of Science,Mahapola
,se/2019/8,fn/2019/8,ln/2019/8,email/2019/8,2019,Faculty of Science,Mahapola
,se/2019/9,fn/2019/9,ln/2019/9,email/2019/9,2019,Faculty of Science,Mahapola
,se/2019/10,fn/2019/10,ln/2019/10,email/2019/10,2019,Faculty of Medical,Mahapola
,se/2019/11,fn/2019/11,ln/2019/11,email/2019/11,2019,Faculty of Medical,Mahapola
,se/2019/12,fn/2019/12,ln/2019/12,email/2019/12,2019,Faculty of Medical,Mahapola
,se/2019/13,fn/2019/13,ln/2019/13,email/2019/13,2019,Faculty of Humanities,Mahapola
,se/2019/14,fn/2019/14,ln/2019/14,email/2019/14,2019,Faculty of Humanities,Mahapola
,se/2019/15,fn/2019/15,ln/2019/15,email/2019/15,2019,Faculty of Humanities,Bursary
,se/2019/16,fn/2019/16,ln/2019/16,email/2019/16,2019,Faculty of Humanities,Bursary
,se/2019/17,fn/2019/17,ln/2019/17,email/2019/17,2019,Faculty of Humanities,Bursary
,se/2019/18,fn/2019/18,ln/2019/18,email/2019/18,2019,Faculty of Humanities,Bursary
,se/2019/19,fn/2019/19,ln/2019/19,email/2019/19,2019,Faculty of Commerce,Bursary
,se/2019/20,fn/2019/20,ln/2019/20,email/2019/20,2019,Faculty of Commerce,Bursary
,se/2019/21,fn/2019/21,ln/2019/21,email/2019/21,2019,Faculty of Commerce,Bursary
,se/2019/22,fn/2019/22,ln/2019/22,email/2019/22,2019,Faculty of Commerce,Bursary
,se/2019/23,fn/2019/23,ln/2019/23,email/2019/23,2019,Faculty of Commerce,Bursary
,se/2019/24,fn/2019/24,ln/2019/24,email/2019/24,2019,Faculty of Commerce,Bursary
,se/2019/25,fn/2019/25,ln/2019/25,email/2019/25,2019,Faculty of Commerce,Bursary
,se/2019/26,fn/2019/26,ln/2019/26,email/2019/26,2019,Faculty of Commerce,Bursary
,se/2019/27,fn/2019/27,ln/2019/27,email/2019/27,2019,Faculty of Commerce,Bursary
,se/2019/28,fn/2019/28,ln/2019/28,email/2019/28,2019,Faculty of Commerce,Bursary
,se/2019/29,fn/2019/29,ln/2019/29,email/2019/29,2019,Faculty of Commerce,Bursary
,se/2019/30,fn/2019/30,ln/2019/30,email/2019/30,2019,Faculty of Commerce,Bursary
,se/2019/31,fn/2019/31,ln/2019/31,email/2019/31,2019,Faculty of Computing and Technology,Bursary
,se/2019/32,fn/2019/32,ln/2019/32,email/2019/32,2019,Faculty of Computing and Technology,Bursary
,se/2019/33,fn/2019/33,ln/2019/33,email/2019/33,2019,Faculty of Computing and Technology,Bursary
,se/2019/34,fn/2019/34,ln/2019/34,email/2019/34,2019,Faculty of Computing and Technology,Bursary
,se/2019/35,fn/2019/35,ln/2019/35,email/2019/35,2019,Faculty of Computing and Technology,Bursary
,se/2019/36,fn/2019/36,ln/2019/36,email/2019/36,2019,Faculty of Computing and Technology,Bursary
,se/2019/37,fn/2019/37,ln/2019/37,email/2019/37,2019,Faculty of Computing and Technology,Bursary
,se/2019/38,fn/2019/38,ln/2019/38,email/2019/38,2019,Faculty of Computing and Technology,Bursary
,se/2019/39,fn/2019/39,ln/2019/39,email/2019/39,2019,Faculty of Computing and Technology,Bursary
,se/2019/40,fn/2019/40,ln/2019/40,email/2019/40,2019,Faculty of Computing and Technology,Bursary
,se/2019/41,fn/2019/41,ln/2019/41,email/2019/41,2019,Faculty of Computing and Technology,Bursary
,se/2019/42,fn/2019/42,ln/2019/42,email/2019/42,2019,Faculty of Computing and Technology,Bursary
,se/2019/43,fn/2019/43,ln/2019/43,email/2019/43,2019,Faculty of Computing and Technology,Bursary
,se/2019/44,fn/2019/44,ln/2019/44,email/2019/44,2019,Faculty of Computing and Technology,Bursary
,se/2019/45,fn/2019/45,ln/2019/45,email/2019/45,2019,Faculty of Computing and Technology,Bursary
,se/2019/46,fn/2019/46,ln/2019/46,email/2019/46,2019,Faculty of Computing and Technology,Bursary
,se/2019/47,fn/2019/47,ln/2019/47,email/2019/47,2019,Faculty of Computing and Technology,Bursary
,se/2019/48,fn/2019/48,ln/2019/48,email/2019/48,2019,Faculty of Computing and Technology,Bursary
,se/2019/49,fn/2019/49,ln/2019/49,email/2019/49,2019,Faculty of Computing and Technology,Bursary
,se/2019/50,fn/2019/50,ln/2019/50,email/2019/50,2019,Faculty of Computing and Technology,Bursary
