Actions,Student No,First Name,Last Name,Email,Entrance Year,Faculty,Scholarship
,se/2018/2100,fname2100,lname2100,semeeshahan@gmail.com2018/2100,2018,Faculty of science,Mahapola
,se/2018/2101,fname2101,lname2101,semeeshahan@gmail.com2018/2101,2018,Faculty of science,Bursary
,se/2018/2102,fname2102,lname2102,semeeshahan@gmail.com2018/2102,2018,Faculty of computing,Mahapola
,se/2018/2103,fname2103,lname2103,semeeshahan@gmail.com2018/2103,2018,Faculty of computing,Bursary
,se/2018/2104,fname2104,lname2104,semeeshahan@gmail.com2018/2104,2018,Faculty of art,Mahapola
,se/2018/2105,fname2105,lname2105,semeeshahan@gmail.com2018/2105,2018,Faculty of art,Bursary
,se/2018/2106,fname2106,lname2106,semeeshahan@gmail.com2018/2106,2018,Faculty of commerce,Mahapola
,se/2018/2107,fname2107,lname2107,semeeshahan@gmail.com2018/2107,2018,Faculty of commerce,Bursary
,se/2018/2108,fname2108,lname2108,semeeshahan@gmail.com2018/2108,2018,Faculty of social science,Mahapola
,se/2018/2109,fname2109,lname2109,semeeshahan@gmail.com2018/2109,2017,Faculty of social science,Bursary
,se/2018/2110,fname2110,lname2110,semeeshahan@gmail.com2018/2110,2017,Faculty of science,Mahapola
,se/2018/2111,fname2111,lname2111,semeeshahan@gmail.com2018/2111,2017,Faculty of science,Bursary
,se/2018/2112,fname2112,lname2112,semeeshahan@gmail.com2018/2112,2017,Faculty of computing,Mahapola
,se/2018/2113,fname2113,lname2113,semeeshahan@gmail.com2018/2113,2017,Faculty of computing,Bursary
,se/2018/2114,fname2114,lname2114,semeeshahan@gmail.com2018/2114,2017,Faculty of art,Mahapola
,se/2018/2115,fname2115,lname2115,semeeshahan@gmail.com2018/2115,2017,Faculty of art,Bursary
,se/2018/2116,fname2116,lname2116,semeeshahan@gmail.com2018/2116,2017,Faculty of commerce,Mahapola
,se/2018/2117,fname2117,lname2117,semeeshahan@gmail.com2018/2117,2017,Faculty of commerce,Bursary
,se/2018/2118,fname2118,lname2118,semeeshahan@gmail.com2018/2118,2017,Faculty of social science,Mahapola
,se/2018/2119,fname2119,lname2119,semeeshahan@gmail.com2018/2119,2016,Faculty of social science,Bursary
,se/2018/2120,fname2120,lname2120,semeeshahan@gmail.com2018/2120,2016,Faculty of science,Mahapola
,se/2018/2121,fname2121,lname2121,semeeshahan@gmail.com2018/2121,2016,Faculty of science,Bursary
,se/2018/2122,fname2122,lname2122,semeeshahan@gmail.com2018/2122,2016,Faculty of computing,Mahapola
,se/2018/2123,fname2123,lname2123,semeeshahan@gmail.com2018/2123,2016,Faculty of computing,Bursary
,se/2018/2124,fname2124,lname2124,semeeshahan@gmail.com2018/2124,2016,Faculty of art,Mahapola
,se/2018/2125,fname2125,lname2125,semeeshahan@gmail.com2018/2125,2016,Faculty of art,Bursary
,se/2018/2126,fname2126,lname2126,semeeshahan@gmail.com2018/2126,2016,Faculty of commerce,Mahapola
,se/2018/2127,fname2127,lname2127,semeeshahan@gmail.com2018/2127,2016,Faculty of commerce,Bursary
,se/2018/2128,fname2128,lname2128,semeeshahan@gmail.com2018/2128,2016,Faculty of social science,Mahapola
,se/2018/2129,fname2129,lname2129,semeeshahan@gmail.com2018/2129,2015,Faculty of social science,Bursary
,se/2018/2130,fname2130,lname2130,semeeshahan@gmail.com2018/2130,2015,,Mahapola
,se/2018/2131,fname2131,lname2131,semeeshahan@gmail.com2018/2131,2015,Faculty of science,Bursary
,se/2018/2132,fname2132,lname2132,semeeshahan@gmail.com2018/2132,2015,Faculty of science,Mahapola
,se/2018/2133,fname2133,lname2133,semeeshahan@gmail.com2018/2133,2015,Faculty of computing,Bursary
,se/2018/2134,fname2134,lname2134,semeeshahan@gmail.com2018/2134,2015,Faculty of computing,Mahapola
,se/2018/2135,fname2135,lname2135,semeeshahan@gmail.com2018/2135,2015,Faculty of art,Bursary
,se/2018/2136,fname2136,lname2136,semeeshahan@gmail.com2018/2136,2015,Faculty of art,Mahapola
,se/2018/2137,fname2137,lname2137,semeeshahan@gmail.com2018/2137,2015,Faculty of commerce,Bursary
,se/2018/2138,fname2138,lname2138,semeeshahan@gmail.com2018/2138,2015,Faculty of commerce,Mahapola
,se/2018/2139,fname2139,lname2139,semeeshahan@gmail.com2018/2139,2015,Faculty of social science,Bursary
,se/2018/2140,fname2140,lname2140,semeeshahan@gmail.com2018/2140,2014,Faculty of social science,Mahapola
,se/2018/2141,fname2141,lname2141,semeeshahan@gmail.com2018/2141,2014,Faculty of science,Bursary
,se/2018/2142,fname2142,lname2142,semeeshahan@gmail.com2018/2142,2014,Faculty of science,Mahapola
,se/2018/2143,fname2143,lname2143,semeeshahan@gmail.com2018/2143,2014,Faculty of computing,Bursary
,se/2018/2144,fname2144,lname2144,semeeshahan@gmail.com2018/2144,2014,Faculty of computing,Mahapola
,se/2018/2145,fname2145,lname2145,semeeshahan@gmail.com2018/2145,2014,Faculty of art,Bursary
,se/2018/2146,fname2146,lname2146,semeeshahan@gmail.com2018/2146,2014,Faculty of art,Mahapola
,se/2018/2147,fname2147,lname2147,semeeshahan@gmail.com2018/2147,2014,Faculty of commerce,Bursary
,se/2018/2148,fname2148,lname2148,semeeshahan@gmail.com2018/2148,2014,Faculty of commerce,Mahapola
